Timestamp,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7
00:00.0,-0.0009374689422571,-0.7856647081418509,-0.0869651329176413,-2.3537229631201173,0.0019865946716177,1.567045055277727,0.7875475340326255,-0.000298895,0.0005069125401785,-0.0001642751282761,0.0018677719501823,-2.43e-06,2.0471242063833887e-05,0.0002476277849702
00:00.0,-0.0009374689422571,-0.7856647081418509,-0.0879593910073879,-2.3548061841112116,0.0018537110009057,1.567045055277727,0.7867214859731599,-0.000298895,0.0005069125401785,-0.0006192527844145,0.0018728921261805,-2.43e-06,9.703786085424668e-05,0.0002984258737353
00:00.1,-0.0009374689422571,-0.7856647081418509,-0.0887606496287935,-2.3557269027827825,0.0016995245970045,1.567045055277727,0.7861550106715884,6.29327929035201e-08,0.0005069125401785,-0.0009860425222992,0.0019704311002946,-2.43e-06,0.0001577912622065,0.0002984258737353
00:00.1,-0.0009374689422571,-0.7856647081418509,-0.0893895111919589,-2.3565000939803262,0.001527665668793,1.567045055277727,0.7861550106715884,0.0003167665154609,0.0005069125401785,-0.0012711405783403,0.0020111387146016,3.175073598065404e-05,0.0002042719016798,0.0002984258737353
00:00.2,-0.0009374689422571,-0.7856647081418509,-0.0898665781069849,-2.3571407325493388,0.0013417644251501,1.567045055277727,0.7861550106715884,0.0005509536838204,0.0005069125401785,-0.0014810431889477,0.0021555224902049,0.0001246448006943,0.0002380202348332,0.0002984258737353
00:00.2,-0.0009374689422571,-0.7856647081418509,-0.0902124527839723,-2.357663793335317,0.0011454510749548,1.567045055277727,0.7861550106715884,0.0005509536838204,0.0005069125401785,-0.0015251437374419,0.0023078588017579,0.0001955583021984,0.0002593973123483,0.0002984258737353
00:00.3,-0.0012634204141135,-0.7855302275030065,-0.0904477376330217,-2.358084251183757,0.0009423558270861,1.5677493637612077,0.7861550106715884,0.0005826655232142,0.0002986004701313,-0.0015251437374419,0.0023078588017579,0.0002194467017036,0.0002605767172259,0.0002984258737353
00:00.3,-0.0015551584735302,-0.7854408292714488,-0.0905930350642341,-2.3584170809401557,0.0007361088904229,1.5683443910803925,0.7861550106715884,0.0005826655232142,-7.448940653615263e-06,-0.0015251437374419,0.0023078588017579,0.0002194467017036,0.0002696932503722,0.0002107209260857
00:00.4,-0.001812900914812,-0.7854408292714488,-0.0906689474877102,-2.358677257450009,0.0005303404738442,1.5688377271349634,0.786486541108612,0.0005826655232142,-0.0003647886213109,-0.0015251437374419,0.0023976990336008,0.0002194467017036,0.0002702068447076,0.0001095999554138
00:00.4,-0.0020368655322633,-0.7854408292714488,-0.0906950269518564,-2.3588797555588137,0.000328680786229,1.5692369618246034,0.7868767522776378,0.0005826655232142,-0.0007635812731382,-0.0015251437374419,0.0024788991913044,0.0002194467017036,0.0002702068447076,3.360204912621412e-07
00:00.5,-0.002216023337248,-0.7854408292714488,-0.0906960773135508,-2.3590395501120636,0.0002012699440769,1.5694708077885289,0.7872807296803687,0.0005826655232142,-0.0011939895974328,-0.0015251437374419,0.0025000212103614,0.0002194467017036,0.0002702068447076,-0.0001117978199107
00:00.5,-0.0022272701201914,-0.7854408292714488,-0.090947279398275,-2.3596032470205546,0.0001347600364569,1.5695496850489956,0.7872807296803687,0.0005058816454254,-0.0013759909033025,-0.001417971499076,0.0026716136441699,0.0002194467017036,0.0002702068447076,-0.0002564825730184
00:00.6,-0.0022272701201914,-0.7854408292714488,-0.0910724119222793,-2.3597072956536884,5.086848065388727e-05,1.5697296663513765,0.7872807296803687,-0.000130471129991,-0.0021402092716609,-0.0009384037588423,0.0027211887915988,0.0001950507565988,0.0002696932503722,-0.0003232741223197
00:00.6,-0.0022272701201914,-0.785525302012688,-0.0912489315575884,-2.3597335888280355,4.204040515237706e-05,1.5699379906233597,0.7872807296803687,-0.000517745911078,-0.0025585673293835,-0.0009002266521666,0.002764863789977,0.000140259040332,0.0002657242005202,-0.0003532166365133
00:00.7,-0.0022272701201914,-0.7855866185401822,-0.091293478038674,-2.3597335888280355,-0.0001336888386698,1.5699626847956385,0.7872807296803687,-0.0008038425104001,-0.0032753594621489,-0.0009002266521666,0.002764863789977,0.0001232292782037,0.0002593973123483,-0.0003625088064021
00:00.7,-0.002347869423573,-0.7856681233310657,-0.0915842973907274,-2.3597335888280355,-0.0004850076548691,1.5699626847956385,0.7872807296803687,-0.0012065631720438,-0.0034980911459594,-0.0009002266521666,0.002764863789977,0.0001042490526572,0.0002492632703327,-0.0003671369916405
00:00.8,-0.0023914931177803,-0.7856730899981956,-0.0916549953098889,-2.3597335888280355,-0.0013277936871777,1.5699626847956385,0.7872761309161506,-0.001791820799779,-0.0034986577089132,-0.0009002266521666,0.0027211887915988,4.360594613587258e-05,0.000221018315143,-0.0004934808820783
00:00.8,-0.0023914931177803,-0.7857991903471993,-0.0918936541954004,-2.3597335888280355,-0.0013452101976234,1.5699379906233597,0.7870233931702518,-0.0020996632671518,-0.0037456139253561,-0.0009002266521666,0.0025000212103614,9.457683940183604e-06,0.000221018315143,-0.0004934808820783
